player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Charlie_Austin,180.0,143.0,6,4,1.26,0.0,1.0,0.0333,0.0,0.1658,0.0
Charlie_Daniels,275.0,143.0,4,2,1.92,0.0,1.0,0.0145,0.0,0.2526,0.0
Charlie_Taylor,160.0,105.0,4,2,1.52,27.0,1.05,0.025,0.1481,0.2,0.5556
Cheikhou_Kouyaté,304.0,143.0,4,3,2.13,12.0,1.02,0.0132,0.3333,0.2803,0.2222
Che_Adams,39.0,29.0,5,4,1.34,8.0,1.01,0.1282,0.625,0.1763,0.1111
Christian_Atsu,169.0,105.0,5,3,1.61,2.0,1.0,0.0296,2.5,0.2118,0.0
Christian_Benteke,286.0,143.0,5,4,2.0,16.0,1.03,0.0175,0.3125,0.2632,0.3333
Christian_Eriksen,626.0,143.0,8,3,4.38,1.0,1.0,0.0128,8.0,0.5763,1.0E-4
Christian_Fuchs,188.0,143.0,4,2,1.31,2.0,1.0,0.0213,2.0,0.1724,0.0
Christian_Kabasele,199.0,143.0,4,2,1.39,14.0,1.02,0.0201,0.2857,0.1829,0.2222
Christian_Pulisic,70.0,29.0,6,3,2.41,0.0,1.0,0.0857,0.0,0.3171,0.0
Christian_Saydee,0.0,16.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Christoph_Zimmermann,35.0,29.0,4,2,1.21,9.0,1.02,0.1143,0.4444,0.1592,0.2222
Chris_Basham,90.0,28.0,4,2,3.21,22.0,1.04,0.0444,0.1818,0.4224,0.4444
Chris_Mepham,53.0,44.0,4,2,1.2,0.0,1.0,0.0755,0.0,0.1579,0.0
Chris_Smalling,231.0,143.0,5,2,1.62,0.0,1.0,0.0216,0.0,0.2132,0.0
Chris_Wood,344.0,103.0,6,4,3.34,25.0,1.04,0.0174,0.24,0.4395,0.4444
Ciaran_Clark,155.0,105.0,4,2,1.48,7.0,1.01,0.0258,0.5714,0.1947,0.1111
Claudio_Bravo,94.0,140.0,4,1,0.67,0.0,1.0,0.0426,0.0,0.0882,0.0
Connor_Wickham,42.0,143.0,4,4,0.29,1.0,1.0,0.0952,4.0,0.0382,1.0E-4
Conor_Coady,177.0,67.0,5,2,2.64,29.0,1.05,0.0282,0.1724,0.3474,0.5556
Conor_Hourihane,52.0,28.0,5,3,1.86,2.0,1.0,0.0962,2.5,0.2447,0.0
